,codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_tipo,ocorrencia_tipo_categoria,ocorrencia_cidade,coordenadas_cidade,longitude_cidade,latitude_cidade,altitude_cidade,ocorrencia_uf,ocorrencia_estado,regiao,ocorrencia_dia,total_aeronaves_envolvidas,ocorrencia_saida_pista,aeronave_matricula,aeronave_operador_categoria,aeronave_tipo_veiculo,aeronave_fabricante,aeronave_modelo,aeronave_tipo_icao,aeronave_motor_tipo,aeronave_motor_quantidade,aeronave_assentos,aeronave_ano_fabricacao,aeronave_pais_fabricante,aeronave_registro_categoria,aeronave_registro_segmento,aeronave_voo_origem,aeronave_voo_destino,aeronave_fase_operacao,aeronave_tipo_operacao,aeronave_nivel_dano,aeronave_fatalidades_total,ocorrencia_fatalidade
1672,42590,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2010-08-01,1,NÃO,PTMZG,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,184.0,1999.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,APROXIMAÇÃO FINAL,REGULAR,LEVE,0,NÃO
1673,42999,INCIDENTE GRAVE,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2010-09-22,1,NÃO,PTNOP,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711C,P28R,PISTÃO,MONOMOTOR,4.0,1977.0,BRASIL,AVIÃO,PARTICULAR,JOÃO SILVA,MARECHAL CUNHA MACHADO,POUSO,PRIVADA,LEVE,0,NÃO
1674,43289,INCIDENTE,COM PARA-BRISAS / JANELA / PORTA,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | COM PARA-BRISAS / JANELA / PORTA,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2010-11-23,1,NÃO,PRMAW,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,184.0,2005.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,REGULAR,LEVE,0,NÃO
1675,43838,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2011-01-14,1,NÃO,PTMZX,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-232,A320,JATO,BIMOTOR,184.0,2001.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,REGULAR,LEVE,0,NÃO
1676,44055,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2011-01-20,1,NÃO,PRAYC,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2008.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,REGULAR,LEVE,0,NÃO
1677,46615,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2012-11-22,1,NÃO,PPGEZ,INSTRUÇÃO,AVIÃO,AERO BOERO,AB-115,AB11,PISTÃO,MONOMOTOR,2.0,1992.0,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,INSTRUÇÃO,NENHUM,0,NÃO
1678,47014,INCIDENTE GRAVE,PANE SECA,COMBUSTÍVEL | PANE SECA,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2013-02-05,1,NÃO,PRVBI,OPERADOR DESCONHECIDO,AVIÃO,BOEING COMPANY,737-73V,B737,JATO,BIMOTOR,152.0,2002.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,CIRCUITO DE TRÁFEGO,REGULAR,NENHUM,0,NÃO
1679,47159,INCIDENTE GRAVE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2013-03-16,1,SIM,PRRMF,INSTRUÇÃO,AVIÃO,CESSNA AIRCRAFT,152,C152,PISTÃO,MONOMOTOR,2.0,1981.0,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,INSTRUÇÃO,SUBSTANCIAL,0,NÃO
1680,50322,INCIDENTE GRAVE,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2013-10-30,1,NÃO,PTICT,ADMINISTRAÇÃO DIRETA,AVIÃO,BEECH AIRCRAFT,58,BE58,PISTÃO,BIMOTOR,6.0,1971.0,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,BRIGADEIRO LYSIAS RODRIGUES,MARECHAL CUNHA MACHADO,POUSO,POLICIAL,SUBSTANCIAL,0,NÃO
1681,51094,INCIDENTE,OUTROS,OUTROS,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2014-01-09,1,NÃO,PRJSR,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,560XL,C56X,JATO,BIMOTOR,11.0,2010.0,BRASIL,AVIÃO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,TÁXI AÉREO,NENHUM,0,NÃO
1682,51762,INCIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2014-07-10,1,NÃO,PRAFA,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,560XLS+,C56X,JATO,BIMOTOR,14.0,2010.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,ESTACIONAMENTO,PRIVADA,NENHUM,0,NÃO
1683,52728,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2014-10-20,1,NÃO,PPGYD,INSTRUÇÃO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,56-B,PAUL,PISTÃO,MONOMOTOR,2.0,1950.0,BRASIL,AVIÃO,INSTRUÇÃO,FORA DE AERODROMO,FORA DE AERODROMO,TÁXI,INSTRUÇÃO,NENHUM,0,NÃO
1684,53079,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2015-01-31,1,NÃO,PRAYK,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2010.0,BRASIL,AVIÃO,REGULAR,MARECHAL CUNHA MACHADO,SENADOR PETRÔNIO PORTELLA,DECOLAGEM,REGULAR,LEVE,0,NÃO
1685,53275,INCIDENTE,OUTROS,OUTROS,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2015-05-20,1,NÃO,PRGGG,OPERADOR DESCONHECIDO,AVIÃO,BOEING COMPANY,737-8EH,B738,JATO,BIMOTOR,197.0,2009.0,BRASIL,AVIÃO,REGULAR,MARECHAL CUNHA MACHADO,PINTO MARTINS,DECOLAGEM,REGULAR,LEVE,0,NÃO
1686,53308,INCIDENTE GRAVE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2015-06-09,1,NÃO,PRSDL,OPERADOR DESCONHECIDO,AVIÃO,BOEING COMPANY,737-3S3,B733,JATO,BIMOTOR,6.0,1988.0,BRASIL,AVIÃO,NÃO REGULAR,SENADOR PETRÔNIO PORTELLA,MARECHAL CUNHA MACHADO,POUSO,NÃO REGULAR,LEVE,0,NÃO
1687,53587,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2015-11-03,1,NÃO,PRRCB,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,680,C680,JATO,BIMOTOR,11.0,2006.0,BRASIL,AVIÃO,PARTICULAR,VAL DE CANS / JÚLIO CEZAR RIBEIRO,MARECHAL CUNHA MACHADO,APROXIMAÇÃO FINAL,PRIVADA,LEVE,0,NÃO
1688,60753,ACIDENTE,INDETERMINADO,INDETERMINADO,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2016-02-09,1,NÃO,PUVLC,OPERADOR DESCONHECIDO,ULTRALEVE,FABRICANTE DESCONHECIDO,M22 FW,ZZZZ,PISTÃO,MONOMOTOR,1.0,2014.0,BRASIL,ULTRALEVE,EXPERIMENTAL,FORA DE AERODROMO,CAVU - CLUBE DE AVIAÇÃO ULTRALEVE,CRUZEIRO,EXPERIMENTAL,SUBSTANCIAL,1,SIM
1689,77863,INCIDENTE,TURBULÊNCIA,TURBULÊNCIA,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2018-03-18,1,NÃO,PRAXR,REGULAR,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2013.0,BRASIL,AVIÃO,REGULAR,TANCREDO NEVES,MARECHAL CUNHA MACHADO,CRUZEIRO,REGULAR,NENHUM,0,NÃO
1690,78105,INCIDENTE,OUTROS,OUTROS,SÃO LUÍS,"-44.2979185642444,-2.531885985,29.56357300000001",-44.2979185642444,-2.531885985,29.56357300000001,MA,Maranhão,Localizado na Região Nordeste,2018-08-09,1,NÃO,PTLJV,ADMINISTRAÇÃO DIRETA,AVIÃO,CESSNA AIRCRAFT,T210L,C210,PISTÃO,MONOMOTOR,6.0,1982.0,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,MARECHAL CUNHA MACHADO,MARECHAL CUNHA MACHADO,TÁXI,POLICIAL,LEVE,0,NÃO
1691,41789,ACIDENTE,PANE SECA,COMBUSTÍVEL | PANE SECA,PAÇO DO LUMIAR,"-44.0986923548405,-2.52806299991673,33.169518",-44.0986923548405,-2.52806299991673,33.169518,MA,Maranhão,Localizado na Região Nordeste,2010-07-10,1,NÃO,PTBXQ,OPERADOR DESCONHECIDO,AVIÃO,CESSNA AIRCRAFT,182F,C182,PISTÃO,MONOMOTOR,4.0,1963.0,BRASIL,AVIÃO,PARTICULAR,MARECHAL CUNHA MACHADO,CORONEL ALEXANDRE RAPOSO,SUBIDA,PRIVADA,SUBSTANCIAL,0,NÃO
1692,45934,ACIDENTE,OUTROS,OUTROS,PAÇO DO LUMIAR,"-44.0986923548405,-2.52806299991673,33.169518",-44.0986923548405,-2.52806299991673,33.169518,MA,Maranhão,Localizado na Região Nordeste,2012-06-14,1,NÃO,PTYCN,PARTICULAR,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,5.0,1973.0,BRASIL,HELICÓPTERO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,OPERAÇÃO DE SOLO,PRIVADA,SUBSTANCIAL,1,SIM
1693,42387,ACIDENTE,EXCURSÃO DE PISTA,EXCURSÃO DE PISTA,MATINHA,"-45.0364289401062,-3.09840002989802,21.892896",-45.0364289401062,-3.09840002989802,21.892896,MA,Maranhão,Localizado na Região Nordeste,2010-07-24,1,SIM,PTRLK,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,P28T,PISTÃO,MONOMOTOR,4.0,1981.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,MARECHAL CUNHA MACHADO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,NÃO
1694,42387,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,MATINHA,"-45.0364289401062,-3.09840002989802,21.892896",-45.0364289401062,-3.09840002989802,21.892896,MA,Maranhão,Localizado na Região Nordeste,2010-07-24,1,SIM,PTRLK,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,P28T,PISTÃO,MONOMOTOR,4.0,1981.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,MARECHAL CUNHA MACHADO,DECOLAGEM,PRIVADA,SUBSTANCIAL,0,NÃO
1695,42983,ACIDENTE,PERDA DE CONTROLE NO SOLO,PERDA DE CONTROLE NO SOLO,IMPERATRIZ,"-47.4798108057682,-5.52652402500001,130.717348",-47.4798108057682,-5.52652402500001,130.717348,MA,Maranhão,Localizado na Região Nordeste,2010-09-30,1,NÃO,PRCCO,OPERADOR DESCONHECIDO,HELICÓPTERO,ROBINSON HELICOPTER,R44 II,R44,PISTÃO,MONOMOTOR,4.0,2005.0,BRASIL,HELICÓPTERO,PARTICULAR,PREFEITO RENATO MOREIRA,COMANDANTE CARLOS INÁCIO AGNES,POUSO,PRIVADA,DESTRUÍDA,1,SIM
1696,43329,INCIDENTE,COLISÃO COM AVE,COLISÃO COM AVE,IMPERATRIZ,"-47.4798108057682,-5.52652402500001,130.717348",-47.4798108057682,-5.52652402500001,130.717348,MA,Maranhão,Localizado na Região Nordeste,2010-11-07,1,NÃO,PRMHE,REGULAR,AVIÃO,AIRBUS INDUSTRIE,A320-214,A320,JATO,BIMOTOR,184.0,2007.0,BRASIL,AVIÃO,REGULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,REGULAR,LEVE,0,NÃO
1697,65288,INCIDENTE,ESTOURO DE PNEU,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | ESTOURO DE PNEU,IMPERATRIZ,"-47.4798108057682,-5.52652402500001,130.717348",-47.4798108057682,-5.52652402500001,130.717348,MA,Maranhão,Localizado na Região Nordeste,2016-06-06,1,NÃO,PRVJD,TÁXI AÉREO,AVIÃO,CESSNA AIRCRAFT,T206H,C206,PISTÃO,MONOMOTOR,6.0,ANO FAB DESCONHECIDO,BRASIL,AVIÃO,TÁXI AÉREO,ALBERTO ALCOLUMBRE,PREFEITO RENATO MOREIRA,CORRIDA APÓS POUSO,TÁXI AÉREO,LEVE,0,NÃO
1698,78902,INCIDENTE GRAVE,AERÓDROMO,AERÓDROMO,IMPERATRIZ,"-47.4798108057682,-5.52652402500001,130.717348",-47.4798108057682,-5.52652402500001,130.717348,MA,Maranhão,Localizado na Região Nordeste,2019-08-15,1,NÃO,PTEZW,OPERADOR DESCONHECIDO,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,7.0,1979.0,BRASIL,AVIÃO,PARTICULAR,VOO ORIG DESCONHECIDO,VOO DEST DESCONHECIDO,POUSO,TIPO OP DESCONHECIDO,NENHUM,0,NÃO
1699,43809,ACIDENTE,OPERAÇÃO A BAIXA ALTITUDE,OPERAÇÃO A BAIXA ALTITUDE,ITINGA DO MARANHÃO,"-47.5279099637574,-4.45500399829955,166.518744",-47.5279099637574,-4.45500399829955,166.518744,MA,Maranhão,Localizado na Região Nordeste,2011-02-05,1,NÃO,PTFFG,OPERADOR DESCONHECIDO,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1.0,1983.0,BRASIL,AVIÃO,AGRÍCOLA,FAZENDA BOLA SETE,FORA DE AERODROMO,ESPECIALIZADA,AGRÍCOLA,SUBSTANCIAL,1,SIM
1700,44233,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,ITAPECURU MIRIM,"-44.354263390434,-3.39904548,21.883496",-44.354263390434,-3.39904548,21.883496,MA,Maranhão,Localizado na Região Nordeste,2011-03-13,1,NÃO,PRCRZ,OPERADOR DESCONHECIDO,AVIÃO,PIPER AIRCRAFT,PA-WNE,ICAO DESCONHECIDO,TIPO MOTOR DESCONHECIDO,SEM TRAÇÃO,0.0,0.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0,NÃO
1701,45218,INCIDENTE GRAVE,POUSO EM LOCAL NÃO PREVISTO,OUTROS | POUSO EM LOCAL NÃO PREVISTO,TIMON,"-42.8337278988597,-5.10068110996202,79.496323",-42.8337278988597,-5.10068110996202,79.496323,MA,Maranhão,Localizado na Região Nordeste,2011-10-30,1,NÃO,PRAYC,OPERADOR DESCONHECIDO,AVIÃO,EMBRAER,ERJ 190-200 IGW,E190,JATO,BIMOTOR,125.0,2008.0,BRASIL,AVIÃO,REGULAR,PINTO MARTINS,SENADOR PETRÔNIO PORTELLA,APROXIMAÇÃO FINAL,REGULAR,NENHUM,0,NÃO
1702,78051,ACIDENTE,FALHA OU MAU FUNCIONAMENTO DO MOTOR,FALHA OU MAU FUNCIONAMENTO DO MOTOR,TIMON,"-42.8337278988597,-5.10068110996202,79.496323",-42.8337278988597,-5.10068110996202,79.496323,MA,Maranhão,Localizado na Região Nordeste,2018-07-20,1,NÃO,PTZMI,OPERADOR DESCONHECIDO,AVIÃO,FABRICANTE DESCONHECIDO,RV-10,ZZZZ,PISTÃO,MONOMOTOR,4.0,2009.0,BRASIL,AVIÃO,EXPERIMENTAL,FORA DE AERODROMO,SENADOR PETRÔNIO PORTELLA,CRUZEIRO,PRIVADA,SUBSTANCIAL,0,NÃO
1703,45412,ACIDENTE,PERDA DE COMPONENTE EM VOO,FALHA OU MAU FUNCIONAMENTO DE SISTEMA / COMPONENTE | PERDA DE COMPONENTE EM VOO,TASSO FRAGOSO,"-45.7441235175102,-8.479831017591311,239.729908",-45.7441235175102,-8.479831017591311,239.729908,MA,Maranhão,Localizado na Região Nordeste,2012-01-23,1,NÃO,PTUDH,AGRÍCOLA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-201A,IPAN,PISTÃO,MONOMOTOR,1.0,1988.0,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,INDETERMINADA,AGRÍCOLA,DESTRUÍDA,2,SIM
1704,45913,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,ALCÂNTARA,"-44.4170125372846,-2.403276525,29.719542",-44.4170125372846,-2.403276525,29.719542,MA,Maranhão,Localizado na Região Nordeste,2012-05-25,1,NÃO,PTRZQ,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-712,P28A,PISTÃO,MONOMOTOR,4.0,0.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,SUBIDA,PRIVADA,SUBSTANCIAL,0,NÃO
1705,52997,INCIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,ALCÂNTARA,"-44.4170125372846,-2.403276525,29.719542",-44.4170125372846,-2.403276525,29.719542,MA,Maranhão,Localizado na Região Nordeste,2015-02-16,1,NÃO,PTZES,EXPERIMENTAL,AVIÃO,RUBEM ROCHA SANTANA,RV-10,ZZZZ,PISTÃO,MONOMOTOR,4.0,2010.0,BRASIL,AVIÃO,EXPERIMENTAL,CORONEL ALEXANDRE RAPOSO,PINHEIRO,SUBIDA,PRIVADA,NENHUM,0,NÃO
1706,46338,ACIDENTE,OUTROS,OUTROS,BALSAS,"-46.0389926733405,-7.53116999000001,255.910533",-46.0389926733405,-7.53116999000001,255.910533,MA,Maranhão,Localizado na Região Nordeste,2012-09-12,1,NÃO,PTRCA,PARTICULAR,AVIÃO,EMBRAER,EMB-810C,PA34,PISTÃO,BIMOTOR,7.0,1980.0,BRASIL,AVIÃO,PARTICULAR,FAZENDA RIBEIRÃO,FAZENDA SÃO GABRIEL,APROXIMAÇÃO FINAL,PRIVADA,SUBSTANCIAL,0,NÃO
1707,52262,ACIDENTE,INDETERMINADO,INDETERMINADO,BALSAS,"-46.0389926733405,-7.53116999000001,255.910533",-46.0389926733405,-7.53116999000001,255.910533,MA,Maranhão,Localizado na Região Nordeste,2014-08-03,1,NÃO,PTWPH,OPERADOR DESCONHECIDO,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-720C,PA32,PISTÃO,MONOMOTOR,7.0,1976.0,BRASIL,AVIÃO,PARTICULAR,BALSAS,SENADOR PETRÔNIO PORTELLA,DECOLAGEM,PRIVADA,DESTRUÍDA,5,SIM
1708,52973,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,BALSAS,"-46.0389926733405,-7.53116999000001,255.910533",-46.0389926733405,-7.53116999000001,255.910533,MA,Maranhão,Localizado na Região Nordeste,2015-02-07,1,NÃO,PTUNH,AGRÍCOLA,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-202,IPAN,PISTÃO,MONOMOTOR,1.0,2002.0,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,NÃO
1709,53564,ACIDENTE,PERDA DE CONTROLE EM VOO,PERDA DE CONTROLE EM VOO,BALSAS,"-46.0389926733405,-7.53116999000001,255.910533",-46.0389926733405,-7.53116999000001,255.910533,MA,Maranhão,Localizado na Região Nordeste,2015-11-09,1,NÃO,PRRSA,OPERADOR DESCONHECIDO,AVIÃO,AIR TRACTOR,AT-502B,AT5T,TURBOÉLICE,MONOMOTOR,1.0,2009.0,BRASIL,AVIÃO,PARTICULAR,BALSAS,BALSAS,DECOLAGEM,AGRÍCOLA,DESTRUÍDA,1,SIM
1710,60997,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,BALSAS,"-46.0389926733405,-7.53116999000001,255.910533",-46.0389926733405,-7.53116999000001,255.910533,MA,Maranhão,Localizado na Região Nordeste,2016-04-06,1,NÃO,PTVYL,OPERADOR DESCONHECIDO,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1.0,2012.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,NÃO
1711,77862,INCIDENTE GRAVE,COLISÃO COM OBSTÁCULOS NO SOLO,COLISÃO NO SOLO | COLISÃO COM OBSTÁCULOS NO SOLO,BALSAS,"-46.0389926733405,-7.53116999000001,255.910533",-46.0389926733405,-7.53116999000001,255.910533,MA,Maranhão,Localizado na Região Nordeste,2018-05-03,1,NÃO,PTPNA,PARTICULAR,AVIÃO,CESSNA AIRCRAFT,A188B,C188,PISTÃO,MONOMOTOR,1.0,1975.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,CORRIDA APÓS POUSO,AGRÍCOLA,LEVE,0,NÃO
1712,46341,INCIDENTE,VAZAMENTO DE OUTROS FLUIDOS,OUTROS | VAZAMENTO DE OUTROS FLUIDOS,BACABAL,"-44.7815559640891,-4.23152462964146,25.184611",-44.7815559640891,-4.23152462964146,25.184611,MA,Maranhão,Localizado na Região Nordeste,2012-09-18,1,NÃO,PTLJV,ADMINISTRAÇÃO DIRETA,AVIÃO,CESSNA AIRCRAFT,T210L,C210,PISTÃO,MONOMOTOR,6.0,1982.0,BRASIL,AVIÃO,ADMINISTRAÇÃO DIRETA,FORA DE AERODROMO,FORA DE AERODROMO,MANOBRA,POLICIAL,NENHUM,0,NÃO
1713,46602,INCIDENTE,POUSO SEM TREM,CONTATO ANORMAL COM A PISTA | POUSO SEM TREM,PINHEIRO,"-45.0839266012937,-2.52274049991691,7.781617",-45.0839266012937,-2.52274049991691,7.781617,MA,Maranhão,Localizado na Região Nordeste,2012-11-23,1,NÃO,PTRPG,PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,EMB-711ST,P28T,PISTÃO,MONOMOTOR,4.0,1985.0,BRASIL,AVIÃO,PARTICULAR,FORA DE AERODROMO,FORA DE AERODROMO,POUSO,PRIVADA,LEVE,0,NÃO
1714,48812,INCIDENTE,OUTROS,OUTROS,LAJEADO NOVO,"-47.0324475171004,-6.19160922646426,177.331906",-47.0324475171004,-6.19160922646426,177.331906,MA,Maranhão,Localizado na Região Nordeste,2013-06-02,1,NÃO,PTVUB,AGRÍCOLA,AVIÃO,EMBRAER,EMB-202A,IPAN,PISTÃO,MONOMOTOR,1.0,2011.0,BRASIL,AVIÃO,AGRÍCOLA,FORA DE AERODROMO,FORA DE AERODROMO,DECOLAGEM,AGRÍCOLA,SUBSTANCIAL,0,NÃO
1715,49593,ACIDENTE,FALHA DO MOTOR EM VOO,FALHA OU MAU FUNCIONAMENTO DO MOTOR | FALHA DO MOTOR EM VOO,MATÕES DO NORTE,"-44.5502445069402,-3.62751878009741,34.689749",-44.5502445069402,-3.62751878009741,34.689749,MA,Maranhão,Localizado na Região Nordeste,2013-08-30,1,NÃO,PTHUE,OPERADOR DESCONHECIDO,HELICÓPTERO,BELL HELICOPTER,206B,B06,TURBOEIXO,MONOMOTOR,5.0,1988.0,BRASIL,HELICÓPTERO,TÁXI AÉREO,FORA DE AERODROMO,FORA DE AERODROMO,CRUZEIRO,TÁXI AÉREO,SUBSTANCIAL,0,NÃO
